"provinsi","tahun","ump"
"KEP. BANGKA BELITUNG",2021,3000804
"KEP. BANGKA BELITUNG",2022,3264884
"KEP. RIAU",2002,NA
"KEP. RIAU",2003,NA
"KEP. RIAU",2004,NA
"KEP. RIAU",2005,557000
"KEP. RIAU",2006,760000
"KEP. RIAU",2007,805000
"KEP. RIAU",2008,833000
"KEP. RIAU",2009,892000
"KEP. RIAU",2010,925000
"KEP. RIAU",2011,975000
"KEP. RIAU",2012,1015000
"KEP. RIAU",2013,1365087
"KEP. RIAU",2014,1665000
"KEP. RIAU",2015,1954000
"KEP. RIAU",2016,2178710
"KEP. RIAU",2017,2358454
"KEP. RIAU",2018,2563875
"KEP. RIAU",2019,2769754
"KEP. RIAU",2020,3005460
"KEP. RIAU",2021,3005460
"KEP. RIAU",2022,3050172
"DKI JAKARTA",2002,591300
"DKI JAKARTA",2003,631600
"DKI JAKARTA",2004,671600
"DKI JAKARTA",2005,711843
"DKI JAKARTA",2006,819100
"DKI JAKARTA",2007,900560
"DKI JAKARTA",2008,972604
"DKI JAKARTA",2009,1069865
"DKI JAKARTA",2010,1118009
"DKI JAKARTA",2011,1290000
"DKI JAKARTA",2012,1529150
"DKI JAKARTA",2013,2200000
"DKI JAKARTA",2014,2441000
"DKI JAKARTA",2015,2700000
"DKI JAKARTA",2016,3100000
"DKI JAKARTA",2017,3355750
"DKI JAKARTA",2018,3648036
"DKI JAKARTA",2019,3940973
"DKI JAKARTA",2020,4276350
"DKI JAKARTA",2021,1765000
"DKI JAKARTA",2022,4641854
"JAWA BARAT",2002,280800
"JAWA BARAT",2003,320000
"JAWA BARAT",2004,366500
"JAWA BARAT",2005,408260
"JAWA BARAT",2006,447654
"JAWA BARAT",2007,516840
"JAWA BARAT",2008,568193
"JAWA BARAT",2009,628191
"JAWA BARAT",2010,671500
"JAWA BARAT",2011,732000
"JAWA BARAT",2012,780000
"JAWA BARAT",2013,850000
"JAWA BARAT",2014,1000000
"JAWA BARAT",2015,1000000
"JAWA BARAT",2016,2250000
"JAWA BARAT",2017,1420624
"JAWA BARAT",2018,1544361
"JAWA BARAT",2019,1668373
"JAWA BARAT",2020,1810351
"JAWA BARAT",2021,2630162
"JAWA BARAT",2022,1841487
"JAWA TENGAH",2002,314500
"JAWA TENGAH",2003,340400
"JAWA TENGAH",2004,365000
"JAWA TENGAH",2005,390000
"JAWA TENGAH",2006,450000
"JAWA TENGAH",2007,500000
"JAWA TENGAH",2008,547000
"JAWA TENGAH",2009,575000
"JAWA TENGAH",2010,660000
"JAWA TENGAH",2011,675000
"JAWA TENGAH",2012,765000
"JAWA TENGAH",2013,830000
"JAWA TENGAH",2014,910000
"JAWA TENGAH",2015,910000
"JAWA TENGAH",2016,910000
"JAWA TENGAH",2017,1367000
"JAWA TENGAH",2018,1486065
"JAWA TENGAH",2019,1605396
"JAWA TENGAH",2020,1742015
"JAWA TENGAH",2021,1810351
"JAWA TENGAH",2022,1812935
"DI YOGYAKARTA",2002,321800
"DI YOGYAKARTA",2003,360000
"DI YOGYAKARTA",2004,365000
"DI YOGYAKARTA",2005,400000
"DI YOGYAKARTA",2006,460000
"DI YOGYAKARTA",2007,500000
"DI YOGYAKARTA",2008,586000
"DI YOGYAKARTA",2009,700000
"DI YOGYAKARTA",2010,745694
"DI YOGYAKARTA",2011,808000
"DI YOGYAKARTA",2012,892660
"DI YOGYAKARTA",2013,947114
"DI YOGYAKARTA",2014,988500
"DI YOGYAKARTA",2015,988500
"DI YOGYAKARTA",2016,988500
"DI YOGYAKARTA",2017,1337645
"DI YOGYAKARTA",2018,1454154
"DI YOGYAKARTA",2019,1570923
"DI YOGYAKARTA",2020,1704608
"DI YOGYAKARTA",2021,2215000
"DI YOGYAKARTA",2022,1840916
"JAWA TIMUR",2002,245000
"JAWA TIMUR",2003,274000
"JAWA TIMUR",2004,310000
"JAWA TIMUR",2005,340000
"JAWA TIMUR",2006,390000
"JAWA TIMUR",2007,448500
"JAWA TIMUR",2008,500000
"JAWA TIMUR",2009,570000
"JAWA TIMUR",2010,630000
"JAWA TIMUR",2011,705000
"JAWA TIMUR",2012,745000
"JAWA TIMUR",2013,866250
"JAWA TIMUR",2014,1000000
"JAWA TIMUR",2015,1000000
"JAWA TIMUR",2016,1000000
"JAWA TIMUR",2017,1338000
"JAWA TIMUR",2018,1508895
"JAWA TIMUR",2019,1630059
"JAWA TIMUR",2020,1768777
"JAWA TIMUR",2021,1798979
"JAWA TIMUR",2022,1891567
"BANTEN",2002,360000
"BANTEN",2003,475000
"BANTEN",2004,515000
"BANTEN",2005,585000
"BANTEN",2006,661613
"BANTEN",2007,746500
"BANTEN",2008,837000
"BANTEN",2009,917500
"BANTEN",2010,955300
"BANTEN",2011,1000000
"BANTEN",2012,1042000
"BANTEN",2013,1170000
"BANTEN",2014,1325000
"BANTEN",2015,1600000
"BANTEN",2016,1784000
"BANTEN",2017,1931180
"BANTEN",2018,2099385
"BANTEN",2019,2267990
"BANTEN",2020,2460997
"BANTEN",2021,3230023
"BANTEN",2022,2501203
"BALI",2002,341000
"BALI",2003,410000
"BALI",2004,425000
"BALI",2005,447500
"BALI",2006,510000
"BALI",2007,622000
"BALI",2008,682650
"BALI",2009,760000
"BALI",2010,829316
"BALI",2011,890000
"BALI",2012,967500
"BALI",2013,1181000
"BALI",2014,1542600
"BALI",2015,1621172
"BALI",2016,1807600
"BALI",2017,1956727
"BALI",2018,2127157
"BALI",2019,2297969
"BALI",2020,2494000
"BALI",2021,2494000
"BALI",2022,2516971
"NUSA TENGGARA BARAT",2002,320000
"NUSA TENGGARA BARAT",2003,375000
"NUSA TENGGARA BARAT",2004,412500
"NUSA TENGGARA BARAT",2005,475000
"NUSA TENGGARA BARAT",2006,550000
"NUSA TENGGARA BARAT",2007,645000
"NUSA TENGGARA BARAT",2008,730000
"NUSA TENGGARA BARAT",2009,832500
"NUSA TENGGARA BARAT",2010,890775
"NUSA TENGGARA BARAT",2011,950000
"NUSA TENGGARA BARAT",2012,1000000
"NUSA TENGGARA BARAT",2013,1100000
"NUSA TENGGARA BARAT",2014,1210000
"NUSA TENGGARA BARAT",2015,1330000
"NUSA TENGGARA BARAT",2016,1482950
"NUSA TENGGARA BARAT",2017,1631245
"NUSA TENGGARA BARAT",2018,1825000
"NUSA TENGGARA BARAT",2019,2012610
"NUSA TENGGARA BARAT",2020,2183883
"NUSA TENGGARA BARAT",2021,2183883
"NUSA TENGGARA BARAT",2022,2207212
"NUSA TENGGARA TIMUR",2002,330000
"NUSA TENGGARA TIMUR",2003,350000
"NUSA TENGGARA TIMUR",2004,400000
"NUSA TENGGARA TIMUR",2005,450000
"NUSA TENGGARA TIMUR",2006,550000
"NUSA TENGGARA TIMUR",2007,600000
"NUSA TENGGARA TIMUR",2008,650000
"NUSA TENGGARA TIMUR",2009,725000
"NUSA TENGGARA TIMUR",2010,800000
"NUSA TENGGARA TIMUR",2011,850000
"NUSA TENGGARA TIMUR",2012,925000
"NUSA TENGGARA TIMUR",2013,1010000
"NUSA TENGGARA TIMUR",2014,1150000
"NUSA TENGGARA TIMUR",2015,1250000
"NUSA TENGGARA TIMUR",2016,1425000
"NUSA TENGGARA TIMUR",2017,1525000
"NUSA TENGGARA TIMUR",2018,1660000
"NUSA TENGGARA TIMUR",2019,1795000
"NUSA TENGGARA TIMUR",2020,1950000
"NUSA TENGGARA TIMUR",2021,1950000
"NUSA TENGGARA TIMUR",2022,1975000
"KALIMANTAN BARAT",2002,380000
"KALIMANTAN BARAT",2003,400000
"KALIMANTAN BARAT",2004,420000
"KALIMANTAN BARAT",2005,445200
"KALIMANTAN BARAT",2006,512000
"KALIMANTAN BARAT",2007,560000
"KALIMANTAN BARAT",2008,645000
"KALIMANTAN BARAT",2009,705000
"KALIMANTAN BARAT",2010,741000
"KALIMANTAN BARAT",2011,802500
"KALIMANTAN BARAT",2012,900000
"KALIMANTAN BARAT",2013,1060000
"KALIMANTAN BARAT",2014,1380000
"KALIMANTAN BARAT",2015,1560000
"KALIMANTAN BARAT",2016,1739400
"KALIMANTAN BARAT",2017,1882900
"KALIMANTAN BARAT",2018,2046900
"KALIMANTAN BARAT",2019,2211500
"KALIMANTAN BARAT",2020,2399699
"KALIMANTAN BARAT",2021,1868777
"KALIMANTAN BARAT",2022,2434328
"KALIMANTAN TENGAH",2002,362000
"KALIMANTAN TENGAH",2003,425000
"KALIMANTAN TENGAH",2004,482300
"KALIMANTAN TENGAH",2005,523698
"KALIMANTAN TENGAH",2006,634260
"KALIMANTAN TENGAH",2007,665973
"KALIMANTAN TENGAH",2008,765868
"KALIMANTAN TENGAH",2009,873089
"KALIMANTAN TENGAH",2010,986590
"KALIMANTAN TENGAH",2011,1134580
"KALIMANTAN TENGAH",2012,1327459
"KALIMANTAN TENGAH",2013,1553127
"KALIMANTAN TENGAH",2014,1723970
"KALIMANTAN TENGAH",2015,1896367
"KALIMANTAN TENGAH",2016,2057558
"KALIMANTAN TENGAH",2017,2227307
"KALIMANTAN TENGAH",2018,2421305
"KALIMANTAN TENGAH",2019,2663435
"KALIMANTAN TENGAH",2020,2903145
"KALIMANTAN TENGAH",2021,2877448
"KALIMANTAN TENGAH",2022,2922516
"KALIMANTAN SELATAN",2002,377500
"KALIMANTAN SELATAN",2003,425000
"KALIMANTAN SELATAN",2004,482200
"KALIMANTAN SELATAN",2005,536300
"KALIMANTAN SELATAN",2006,629000
"KALIMANTAN SELATAN",2007,745000
"KALIMANTAN SELATAN",2008,825000
"KALIMANTAN SELATAN",2009,930000
"KALIMANTAN SELATAN",2010,1024500
"KALIMANTAN SELATAN",2011,1126000
"KALIMANTAN SELATAN",2012,1225000
"KALIMANTAN SELATAN",2013,1337500
"KALIMANTAN SELATAN",2014,1620000
"KALIMANTAN SELATAN",2015,1870000
"KALIMANTAN SELATAN",2016,2085050
"KALIMANTAN SELATAN",2017,2258000
"KALIMANTAN SELATAN",2018,2454671
"KALIMANTAN SELATAN",2019,2651782
"KALIMANTAN SELATAN",2020,2877449
"KALIMANTAN SELATAN",2021,2399698
"KALIMANTAN SELATAN",2022,2906473
"KALIMANTAN TIMUR",2002,500000
"KALIMANTAN TIMUR",2003,540000
"KALIMANTAN TIMUR",2004,572700
"KALIMANTAN TIMUR",2005,600000
"KALIMANTAN TIMUR",2006,701640
"KALIMANTAN TIMUR",2007,766500
"KALIMANTAN TIMUR",2008,889654
"KALIMANTAN TIMUR",2009,955000
"KALIMANTAN TIMUR",2010,1002000
"KALIMANTAN TIMUR",2011,1084000
"KALIMANTAN TIMUR",2012,1177000
"KALIMANTAN TIMUR",2013,1752073
"KALIMANTAN TIMUR",2014,1886315
"KALIMANTAN TIMUR",2015,2026126
"KALIMANTAN TIMUR",2016,2161253
"KALIMANTAN TIMUR",2017,2354800
"KALIMANTAN TIMUR",2018,2543332
"KALIMANTAN TIMUR",2019,2747561
"KALIMANTAN TIMUR",2020,2981379
"KALIMANTAN TIMUR",2021,2903144
"KALIMANTAN TIMUR",2022,3014497
"KALIMANTAN UTARA",2002,NA
"KALIMANTAN UTARA",2003,NA
"KALIMANTAN UTARA",2004,NA
"KALIMANTAN UTARA",2005,NA
"KALIMANTAN UTARA",2006,NA
"KALIMANTAN UTARA",2007,NA
"KALIMANTAN UTARA",2008,NA
"KALIMANTAN UTARA",2009,NA
"KALIMANTAN UTARA",2010,NA
"KALIMANTAN UTARA",2011,NA
"KALIMANTAN UTARA",2012,NA
"KALIMANTAN UTARA",2013,NA
"KALIMANTAN UTARA",2014,NA
"KALIMANTAN UTARA",2015,2026126
"KALIMANTAN UTARA",2016,2175340
"KALIMANTAN UTARA",2017,2358800
"KALIMANTAN UTARA",2018,2559903
"KALIMANTAN UTARA",2019,2765463
"KALIMANTAN UTARA",2020,3000804
"KALIMANTAN UTARA",2021,2981378
"KALIMANTAN UTARA",2022,3016738
"SULAWESI UTARA",2002,438000
"SULAWESI UTARA",2003,495000
"SULAWESI UTARA",2004,545000
"SULAWESI UTARA",2005,600000
"SULAWESI UTARA",2006,713500
"SULAWESI UTARA",2007,750000
"SULAWESI UTARA",2008,845000
"SULAWESI UTARA",2009,929500
"SULAWESI UTARA",2010,1000000
"SULAWESI UTARA",2011,1050000
"SULAWESI UTARA",2012,1250000
"SULAWESI UTARA",2013,1550000
"SULAWESI UTARA",2014,1900000
"SULAWESI UTARA",2015,2150000
"SULAWESI UTARA",2016,2400000
"SULAWESI UTARA",2017,2598000
"SULAWESI UTARA",2018,2824286
"SULAWESI UTARA",2019,3051076
"SULAWESI UTARA",2020,3310723
"SULAWESI UTARA",2021,3310723
"SULAWESI UTARA",2022,3310723
"SULAWESI TENGAH",2002,350000
"SULAWESI TENGAH",2003,410000
"SULAWESI TENGAH",2004,450000
"SULAWESI TENGAH",2005,490000
"SULAWESI TENGAH",2006,575000
"SULAWESI TENGAH",2007,615000
"SULAWESI TENGAH",2008,670000
"SULAWESI TENGAH",2009,720000
"SULAWESI TENGAH",2010,777500
"SULAWESI TENGAH",2011,827500
"SULAWESI TENGAH",2012,885000
"SULAWESI TENGAH",2013,995000
"SULAWESI TENGAH",2014,1250000
"SULAWESI TENGAH",2015,1500000
"SULAWESI TENGAH",2016,1670000
"SULAWESI TENGAH",2017,1807775
"SULAWESI TENGAH",2018,1965232
"SULAWESI TENGAH",2019,2123040
"SULAWESI TENGAH",2020,2303711
"SULAWESI TENGAH",2021,2303711
"SULAWESI TENGAH",2022,2390739
"SULAWESI SELATAN",2002,375000
"SULAWESI SELATAN",2003,415000
"SULAWESI SELATAN",2004,455000
"SULAWESI SELATAN",2005,510000
"SULAWESI SELATAN",2006,612000
"SULAWESI SELATAN",2007,673200
"SULAWESI SELATAN",2008,740520
"SULAWESI SELATAN",2009,905000
"SULAWESI SELATAN",2010,1000000
"SULAWESI SELATAN",2011,1100000
"SULAWESI SELATAN",2012,1200000
"SULAWESI SELATAN",2013,1440000
"SULAWESI SELATAN",2014,1800000
"SULAWESI SELATAN",2015,2000000
"SULAWESI SELATAN",2016,2250000
"SULAWESI SELATAN",2017,2435625
"SULAWESI SELATAN",2018,2647767
"SULAWESI SELATAN",2019,2860382
"SULAWESI SELATAN",2020,3103800
"SULAWESI SELATAN",2021,3165876
"SULAWESI SELATAN",2022,3165876
"SULAWESI TENGGARA",2002,325000
"SULAWESI TENGGARA",2003,390000
"SULAWESI TENGGARA",2004,470000
"SULAWESI TENGGARA",2005,498600
"SULAWESI TENGGARA",2006,573400
"SULAWESI TENGGARA",2007,640000
"SULAWESI TENGGARA",2008,700000
"SULAWESI TENGGARA",2009,770000
"SULAWESI TENGGARA",2010,860000
"SULAWESI TENGGARA",2011,930000
"SULAWESI TENGGARA",2012,1032300
"SULAWESI TENGGARA",2013,1125207
"SULAWESI TENGGARA",2014,1400000
"SULAWESI TENGGARA",2015,1652000
"SULAWESI TENGGARA",2016,1850000
"SULAWESI TENGGARA",2017,2002625
"SULAWESI TENGGARA",2018,2177052
"SULAWESI TENGGARA",2019,2351870
"SULAWESI TENGGARA",2020,2552015
"SULAWESI TENGGARA",2021,2552014
"SULAWESI TENGGARA",2022,2710596
"GORONTALO",2002,375000
"GORONTALO",2003,410000
"GORONTALO",2004,430000
"GORONTALO",2005,435000
"GORONTALO",2006,527000
"GORONTALO",2007,560000
"GORONTALO",2008,600000
"GORONTALO",2009,675000
"GORONTALO",2010,710000
"GORONTALO",2011,762500
"GORONTALO",2012,837500
"GORONTALO",2013,1175000
"GORONTALO",2014,1325000
"GORONTALO",2015,1600000
"GORONTALO",2016,1875000
"GORONTALO",2017,2030000
"GORONTALO",2018,2206813
"GORONTALO",2019,2384020
"GORONTALO",2020,2788826
"GORONTALO",2021,4416186
"GORONTALO",2022,2800580
"SULAWESI BARAT",2002,NA
"SULAWESI BARAT",2003,NA
"SULAWESI BARAT",2004,NA
"SULAWESI BARAT",2005,NA
"SULAWESI BARAT",2006,612000
"SULAWESI BARAT",2007,691464
"SULAWESI BARAT",2008,760500
"SULAWESI BARAT",2009,909400
"SULAWESI BARAT",2010,944200
"SULAWESI BARAT",2011,1006000
"SULAWESI BARAT",2012,1127000
"SULAWESI BARAT",2013,1165000
"SULAWESI BARAT",2014,1400000
"SULAWESI BARAT",2015,1655500
"SULAWESI BARAT",2016,1864000
"SULAWESI BARAT",2017,2017780
"SULAWESI BARAT",2018,2193530
"SULAWESI BARAT",2019,2381000
"SULAWESI BARAT",2020,2678863
"SULAWESI BARAT",2021,2678863
"SULAWESI BARAT",2022,2678863
"MALUKU",2002,285000
"MALUKU",2003,370000
"MALUKU",2004,450000
"MALUKU",2005,500000
"MALUKU",2006,575000
"MALUKU",2007,635000
"MALUKU",2008,700000
"MALUKU",2009,775000
"MALUKU",2010,840000
"MALUKU",2011,900000
"MALUKU",2012,975000
"MALUKU",2013,1275000
"MALUKU",2014,1415000
"MALUKU",2015,1650000
"MALUKU",2016,1775000
"MALUKU",2017,1925000
"MALUKU",2018,2222220
"MALUKU",2019,2400664
"MALUKU",2020,2604961
"MALUKU",2021,2604961
"MALUKU",2022,2619313
"MALUKU UTARA",2002,322000
"MALUKU UTARA",2003,370000
"MALUKU UTARA",2004,400000
"MALUKU UTARA",2005,440000
"MALUKU UTARA",2006,528000
"MALUKU UTARA",2007,660000
"MALUKU UTARA",2008,700000
"MALUKU UTARA",2009,770000
"MALUKU UTARA",2010,847000
"MALUKU UTARA",2011,889350
"MALUKU UTARA",2012,960498
"MALUKU UTARA",2013,1200622
"MALUKU UTARA",2014,1440746
"MALUKU UTARA",2015,1577617
"MALUKU UTARA",2016,1681266
"MALUKU UTARA",2017,1975000
"MALUKU UTARA",2018,2320803
"MALUKU UTARA",2019,2508091
"MALUKU UTARA",2020,2721530
"MALUKU UTARA",2021,2721530
"MALUKU UTARA",2022,2862231
"PAPUA BARAT",2002,NA
"PAPUA BARAT",2003,NA
"PAPUA BARAT",2004,NA
"PAPUA BARAT",2005,NA
"PAPUA BARAT",2006,822500
"PAPUA BARAT",2007,987000
"PAPUA BARAT",2008,1105500
"PAPUA BARAT",2009,1180000
"PAPUA BARAT",2010,1210000
"PAPUA BARAT",2011,1410000
"PAPUA BARAT",2012,1450000
"PAPUA BARAT",2013,1720000
"PAPUA BARAT",2014,1870000
"PAPUA BARAT",2015,2015000
"PAPUA BARAT",2016,2237000
"PAPUA BARAT",2017,2421500
"PAPUA BARAT",2018,2667000
"PAPUA BARAT",2019,2934500
"PAPUA BARAT",2020,3134600
"PAPUA BARAT",2021,3134600
"PAPUA BARAT",2022,3200000
"PAPUA",2002,530000
"PAPUA",2003,600000
"PAPUA",2004,650000
"PAPUA",2005,700000
"PAPUA",2006,822500
"PAPUA",2007,987000
"PAPUA",2008,1105500
"PAPUA",2009,1216100
"PAPUA",2010,1316500
"PAPUA",2011,1403000
"PAPUA",2012,1585000
"PAPUA",2013,1710000
"PAPUA",2014,2040000
"PAPUA",2015,2193000
"PAPUA",2016,2435000
"PAPUA",2017,2663646
"PAPUA",2018,3000000
"PAPUA",2019,3240900
"PAPUA",2020,3516700
"PAPUA",2021,3516700
"PAPUA",2022,3561932
"INDONESIA",2002,362700
"INDONESIA",2003,414700
"INDONESIA",2004,458500
"INDONESIA",2005,507697
"INDONESIA",2006,602702
"INDONESIA",2007,672480
"INDONESIA",2008,745709
"INDONESIA",2009,841530
"INDONESIA",2010,908824
"INDONESIA",2011,988829
"INDONESIA",2012,1088903
"INDONESIA",2013,1296908
"INDONESIA",2014,1584391
"INDONESIA",2015,1790342
"INDONESIA",2016,1997819
"INDONESIA",2017,2073332
"INDONESIA",2018,2268874
"INDONESIA",2019,2455662
"INDONESIA",2020,2672371
"INDONESIA",2021,2684743
"INDONESIA",2022,2729463
