"provinsi","peng.perdesaan.makanan.2007","peng.perdesaan.makanan.2008","peng.perdesaan.makanan.2009","peng.perdesaan.makanan.2010","peng.perdesaan.makanan.2011","peng.perdesaan.makanan.2012","peng.perdesaan.makanan.2013","peng.perdesaan.makanan.2014","peng.perdesaan.makanan.2015","peng.perdesaan.makanan.2016","peng.perdesaan.makanan.2017","peng.perdesaan.makanan.2018","peng.perdesaan.makanan.2019","peng.perdesaan.makanan.2020","peng.perdesaan.makanan.2021","peng.perdesaan.makanan.2022","peng.perdesaan.nonmakanan.2007","peng.perdesaan.nonmakanan.2008","peng.perdesaan.nonmakanan.2009","peng.perdesaan.nonmakanan.2010","peng.perdesaan.nonmakanan.2011","peng.perdesaan.nonmakanan.2012","peng.perdesaan.nonmakanan.2013","peng.perdesaan.nonmakanan.2014","peng.perdesaan.nonmakanan.2015","peng.perdesaan.nonmakanan.2016","peng.perdesaan.nonmakanan.2017","peng.perdesaan.nonmakanan.2018","peng.perdesaan.nonmakanan.2019","peng.perdesaan.nonmakanan.2020","peng.perdesaan.nonmakanan.2021","peng.perdesaan.nonmakanan.2022","peng.perdesaan.total.2007","peng.perdesaan.total.2008","peng.perdesaan.total.2009","peng.perdesaan.total.2010","peng.perdesaan.total.2011","peng.perdesaan.total.2012","peng.perdesaan.total.2013","peng.perdesaan.total.2014","peng.perdesaan.total.2015","peng.perdesaan.total.2016","peng.perdesaan.total.2017","peng.perdesaan.total.2018","peng.perdesaan.total.2019","peng.perdesaan.total.2020","peng.perdesaan.total.2021","peng.perdesaan.total.2022","peng.perkotaan.makanan.2007","peng.perkotaan.makanan.2008","peng.perkotaan.makanan.2009","peng.perkotaan.makanan.2010","peng.perkotaan.makanan.2011","peng.perkotaan.makanan.2012","peng.perkotaan.makanan.2013","peng.perkotaan.makanan.2014","peng.perkotaan.makanan.2015","peng.perkotaan.makanan.2016","peng.perkotaan.makanan.2017","peng.perkotaan.makanan.2018","peng.perkotaan.makanan.2019","peng.perkotaan.makanan.2020","peng.perkotaan.makanan.2021","peng.perkotaan.makanan.2022","peng.perkotaan.nonmakanan.2007","peng.perkotaan.nonmakanan.2008","peng.perkotaan.nonmakanan.2009","peng.perkotaan.nonmakanan.2010","peng.perkotaan.nonmakanan.2011","peng.perkotaan.nonmakanan.2012","peng.perkotaan.nonmakanan.2013","peng.perkotaan.nonmakanan.2014","peng.perkotaan.nonmakanan.2015","peng.perkotaan.nonmakanan.2016","peng.perkotaan.nonmakanan.2017","peng.perkotaan.nonmakanan.2018","peng.perkotaan.nonmakanan.2019","peng.perkotaan.nonmakanan.2020","peng.perkotaan.nonmakanan.2021","peng.perkotaan.nonmakanan.2022","peng.perkotaan.total.2007","peng.perkotaan.total.2008","peng.perkotaan.total.2009","peng.perkotaan.total.2010","peng.perkotaan.total.2011","peng.perkotaan.total.2012","peng.perkotaan.total.2013","peng.perkotaan.total.2014","peng.perkotaan.total.2015","peng.perkotaan.total.2016","peng.perkotaan.total.2017","peng.perkotaan.total.2018","peng.perkotaan.total.2019","peng.perkotaan.total.2020","peng.perkotaan.total.2021","peng.perkotaan.total.2022","peng.perdesaanperkotaan.makanan.2011","peng.perdesaanperkotaan.makanan.2012","peng.perdesaanperkotaan.makanan.2013","peng.perdesaanperkotaan.makanan.2014","peng.perdesaanperkotaan.makanan.2015","peng.perdesaanperkotaan.makanan.2016","peng.perdesaanperkotaan.makanan.2017","peng.perdesaanperkotaan.makanan.2018","peng.perdesaanperkotaan.makanan.2019","peng.perdesaanperkotaan.makanan.2020","peng.perdesaanperkotaan.makanan.2021","peng.perdesaanperkotaan.makanan.2022","peng.perdesaanperkotaan.nonmakanan.2011","peng.perdesaanperkotaan.nonmakanan.2012","peng.perdesaanperkotaan.nonmakanan.2013","peng.perdesaanperkotaan.nonmakanan.2014","peng.perdesaanperkotaan.nonmakanan.2015","peng.perdesaanperkotaan.nonmakanan.2016","peng.perdesaanperkotaan.nonmakanan.2017","peng.perdesaanperkotaan.nonmakanan.2018","peng.perdesaanperkotaan.nonmakanan.2019","peng.perdesaanperkotaan.nonmakanan.2020","peng.perdesaanperkotaan.nonmakanan.2021","peng.perdesaanperkotaan.nonmakanan.2022","peng.perdesaanperkotaan.total.2011","peng.perdesaanperkotaan.total.2012","peng.perdesaanperkotaan.total.2013","peng.perdesaanperkotaan.total.2014","peng.perdesaanperkotaan.total.2015","peng.perdesaanperkotaan.total.2016","peng.perdesaanperkotaan.total.2017","peng.perdesaanperkotaan.total.2018","peng.perdesaanperkotaan.total.2019","peng.perdesaanperkotaan.total.2020","peng.perdesaanperkotaan.total.2021","peng.perdesaanperkotaan.total.2022"
"DKI JAKARTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272821,313878,357934,398782,457669,519028,603269,623186,615486,692206,797828,847846,877448,944687,923932,953320,500586,549789,580449,625432,898019,884071,925160,1085089,1157945,1184441,1199617,1191309,1278663,1313304,1412496,1572026,773407,863667,938383,1024214,1355688,1403098,1528429,1708275,1773431,1876647,1997446,2039157,2156112,2257991,2336429,2525347,457669,519028,603269,623186,615486,692207,797828,847846,877448,944687,923932,953320,898019,884071,925160,1085089,1157945,1184441,1199617,1191309,1278663,1313304,1412496,1572026,1355688,1403098,1528429,1708275,1773431,1876648,1997446,2039157,2156112,2257991,2336429,2525347
"JAWA BARAT",153304,165387,192426,222277,250476,265181,291786,328238,378794,395806,484115,529194,533831,568464,602593,630058,103853,115067,131846,145100,168911,165944,177333,232544,274900,298301,322523,357131,380464,409189,406828,426145,257157,280454,324273,367377,419387,431125,469119,560782,653694,694106,806638,886325,914296,977654,1009421,1056204,199577,223205,239201,278285,322195,380259,413777,406530,448748,514628,593467,626039,659200,682461,698336,729521,244837,255333,289004,293690,385386,385707,447852,505206,566242,599330,625683,707932,715976,748323,776090,810707,444414,478538,528206,571975,707581,765967,861629,911736,1014991,1113959,1219151,1333971,1375176,1430785,1474426,1540228,297590,340757,371881,380224,425883,477814,562766,600966,629740,655838,677382,708389,311118,310270,354946,413592,471012,506063,540570,617111,637135,669121,695276,729004,608708,651026,726828,793816,896895,983877,1103337,1218079,1266876,1324959,1372659,1437394
"JAWA TENGAH",125262,138660,156775,183675,213285,226102,255204,302267,313724,337788,399848,429085,436512,456030,479366,532973,100177,106800,123283,144292,180606,181006,201336,238331,277509,297503,320185,381834,388547,420783,422937,433964,225439,245461,280057,327967,393891,407109,456540,540598,591233,635292,720033,810919,825060,876814,902303,966937,156840,178180,193974,225430,249353,306284,313649,340655,350517,409810,443810,491151,500720,534296,556031,609145,183672,192369,204033,238059,297683,308859,368586,386262,468198,484096,493715,568887,580605,618738,629212,653908,340513,370549,398007,463488,547036,615142,682235,726917,818715,893906,937525,1060038,1081326,1153035,1185244,1263053,229775,262761,281921,319872,330646,371605,421514,460891,469421,496173,519009,572808,234132,239459,277792,306173,365211,385115,405708,477690,486982,522314,529599,548985,463907,502220,559713,626045,695856,756720,827223,938581,956403,1018487,1048609,1121793
"DI YOGYAKARTA",131247,141612,159436,195603,223946,260842,287348,324483,325188,364117,410231,418677,436763,444286,468581,489285,132434,137857,156617,174304,248218,241637,247263,225504,297594,362964,346740,421355,419189,441772,436839,461469,263681,279469,316053,369907,472165,502480,534611,549987,622782,727081,756972,840033,855952,886059,905420,950754,181086,199260,232932,270885,302958,361214,388200,341149,385061,466841,524042,569840,587032,629172,638605,676491,280053,293985,314807,385305,399829,440295,515017,555749,697510,765698,777961,904012,931711,977178,958089,984701,461139,493245,547739,656190,702787,801509,903217,896898,1082571,1232540,1302004,1473853,1518743,1606350,1596694,1661192,276323,327241,353778,335550,365012,434004,490248,529012,546444,579279,594622,628844,348721,373055,423630,444796,563591,636958,649917,773648,793280,832692,823248,851529,625043,700296,777409,780346,928602,1070962,1140166,1302661,1339725,1411971,1417870,1480374
"JAWA TIMUR",122358,139244,158112,181119,207963,222372,252159,303607,338325,369547,419399,436818,443597,462004,500154,551128,101688,112428,127697,139322,160118,158001,190741,226482,306017,304534,304398,341262,370427,383238,390312,403015,224047,251672,285809,320442,368082,380374,442900,530089,644341,674082,723798,778082,814024,845242,890466,954144,165600,191264,220890,250338,287360,291115,325319,378146,427218,487167,532127,562767,554493,573351,605457,640831,204247,224600,235219,256289,329431,336670,388442,423858,604896,587522,613460,650784,675010,681482,691588,693987,369847,415864,456109,506627,616790,627784,713760,802004,1032114,1074690,1145587,1213551,1229503,1254834,1297046,1334818,245743,255081,286962,339175,380993,427191,476861,502760,502892,521577,557790,600847,240683,243014,284790,320664,449479,443221,461939,503316,533284,542804,555211,564290,486426,498094,571752,659839,830472,870412,938801,1006077,1036176,1064381,1113001,1165137
"BANTEN",154658,180920,195712,234517,262387,290243,321473,366610,392046,429913,486515,551678,568904,621779,632206,717509,96155,115064,143723,160440,174403,191609,198310,230289,272081,298101,304026,344889,391762,430162,422823,433478,250812,295983,339435,394957,436790,481852,519784,596899,664127,728014,790542,896568,960667,1051941,1055029,1150988,224839,234802,277154,338135,361735,409639,469412,497031,526737,578602,681921,722162,755744,809917,789596,867898,325445,324416,360507,470739,460828,427501,469137,545593,677002,740307,768846,860591,857116,890708,902648,908923,550284,559219,637662,808875,822563,837140,938549,1042624,1203739,1318909,1450768,1582754,1612861,1700626,1692245,1776821,328623,370088,420422,455522,483956,532389,623084,672917,702322,756673,744893,830110,365364,349359,379454,445242,548390,602867,628887,711628,724059,760370,766363,789460,693987,719447,799876,900764,1032346,1135256,1251971,1384545,1426382,1517044,1511256,1619571
"BALI",167040,167920,183935,234204,277702,295188,380956,387017,389091,415994,462189,508462,519389,564444,534662,537213,165237,170644,190592,243061,277556,348033,345853,375812,441381,467022,492979,506501,535918,526845,544917,540494,332277,338563,374527,477266,555258,643221,726810,762829,830471,883016,955168,1014963,1055307,1091290,1079579,1077707,212090,215944,241671,311931,358825,354780,494245,525101,441921,495437,629479,646596,649854,724978,667606,639073,307687,279358,335150,418290,579469,692752,701899,754814,737657,731649,915099,899792,887615,973020,963313,950309,519777,495302,576821,730221,938294,1047532,1196144,1279915,1179578,1227087,1544578,1546388,1537470,1697998,1630920,1589383,326490,330963,449048,471149,421577,465993,569168,599976,609181,675145,628472,609855,459132,554979,559852,606730,623568,633569,762916,767056,777972,834520,840152,832754,785622,885942,1008900,1077879,1045145,1099561,1332084,1367032,1387153,1509665,1468624,1442609
"NUSA TENGGARA BARAT",127335,153907,169850,205617,232437,255340,302009,328355,341583,385012,430953,489716,508746,537421,592603,625547,88947,104504,122048,147172,161851,163840,179355,210000,263291,288557,285334,327291,424611,438075,461751,402893,216282,258410,291898,352789,394288,419180,481364,538355,604874,673569,716288,817007,933358,975497,1054354,1028440,160540,186472,191821,249107,271368,341243,337101,420182,373402,442888,490606,565819,573132,613446,683662,707430,151503,172259,207458,274540,243507,234901,303305,350931,381980,431455,460071,468883,559054,598236,658565,582407,312043,358731,399278,523647,514875,576144,640406,771113,755382,874344,950677,1034704,1132187,1211682,1342227,1289837,248690,291176,316656,366885,355034,410112,457616,525091,539863,574202,637897,666966,195940,234901,231092,269134,313465,350529,363435,393107,489587,515561,559650,493696,444630,484661,547748,636019,668499,760641,821052,918199,1029450,1089763,1197547,1160662
"NUSA TENGGARA TIMUR",112287,127838,145969,179358,200774,205925,209111,239875,272347,283013,366408,361460,395098,401712,424725,446350,59216,67937,87210,106006,116755,119946,134408,155532,176028,196941,201792,219096,229992,251481,276068,310372,171503,195775,233179,285364,317529,325871,343519,395407,448375,479954,568200,580557,625090,653194,700794,756723,200895,204344,236813,273831,311872,322582,365825,381649,401053,426417,518425,542216,539898,574081,600232,581779,211239,222672,252259,276699,344530,368842,423871,513543,473374,526696,574119,579797,613889,672776,663311,676439,412133,427016,489072,550530,656402,691424,789696,895192,874428,953114,1092545,1122013,1153788,1246857,1263544,1258219,222575,228660,240207,267584,298180,312312,399251,402921,429498,442700,468252,480749,161451,168451,191846,225504,235710,264315,282232,301832,321195,351661,372106,403352,384025,397111,432053,493088,533891,576627,681483,704754,750693,794361,840358,884102
"KALIMANTAN BARAT",166791,194968,222253,243618,283629,313904,323270,380875,405835,423687,479510,490033,511415,539487,556660,610152,93685,115956,125796,143383,205923,186198,216440,243900,282118,319487,305909,363108,392690,412227,441583,434527,260477,310925,348049,387001,489552,500102,539711,624775,687953,743174,785420,853142,904105,951715,998244,1044679,188844,218161,255780,322786,379884,438635,467944,510316,473082,511593,605453,624891,653100,666983,685868,762281,204429,230371,264375,367657,431312,436037,509948,648435,526121,605280,632936,748505,753224,778369,769054,793738,393273,448532,520155,690443,811196,874671,977892,1158751,999203,1116874,1238389,1373396,1406325,1445352,1454922,1556019,312711,351590,367018,420130,426381,451222,519469,535533,561142,584259,603291,666065,274022,261683,305193,366581,356668,409006,409666,493138,519227,540803,559766,566552,586732,613273,672211,786711,783050,860227,929135,1028671,1080369,1125063,1163058,1232618
"KALIMANTAN TENGAH",192555,235185,251330,296577,359349,368711,400068,483884,489011,532629,606252,615144,628743,653781,701646,777398,111124,128660,132743,167251,211517,238978,274072,317251,361909,412711,412176,489769,538257,536160,577984,591424,303679,363845,384073,463828,570865,607689,674140,801135,850921,945340,1018429,1104915,1167000,1189942,1279631,1368822,230792,283938,308212,326759,408361,428808,454453,517271,506106,571463,648916,660147,683518,708823,729454,742369,225939,239637,264614,278194,377446,453917,550440,578692,549096,656184,693047,754485,782544,837135,831203,800765,456731,523575,572826,604954,785806,882724,1004892,1095963,1055202,1227648,1341964,1414633,1466063,1545958,1560658,1543134,375767,388822,418274,495159,494858,546306,621621,632492,650758,675947,713144,762633,267100,310905,366590,405540,425928,498464,513357,591813,636442,657370,682681,679661,642867,699727,784864,900699,920786,1044770,1134979,1224306,1287201,1333318,1395825,1442295
