"provinsi","daerah","jenis","tahun","peng"
"ACEH","PERKOTAAN","TOTAL",2012,818516
"ACEH","PERKOTAAN","TOTAL",2013,928844
"ACEH","PERKOTAAN","TOTAL",2014,975927
"ACEH","PERKOTAAN","TOTAL",2015,996300
"ACEH","PERKOTAAN","TOTAL",2016,1108346
"ACEH","PERKOTAAN","TOTAL",2017,1186867
"ACEH","PERKOTAAN","TOTAL",2018,1271297
"ACEH","PERKOTAAN","TOTAL",2019,1279820
"ACEH","PERKOTAAN","TOTAL",2020,1359653
"ACEH","PERKOTAAN","TOTAL",2021,1458492
"ACEH","PERKOTAAN","TOTAL",2022,1452581
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2011,329257
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2012,356132
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2013,371838
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2014,406835
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2015,415354
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2016,451952
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2017,529161
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2018,547668
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2019,559299
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2020,595634
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2021,643591
"ACEH","PERDESAANPERKOTAAN","MAKANAN",2022,668480
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2011,224798
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2012,227968
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2013,255543
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2014,273015
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2015,336764
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2016,356142
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2017,373833
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2018,426149
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2019,434133
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2020,484536
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2021,494227
"ACEH","PERDESAANPERKOTAAN","NONMAKANAN",2022,511651
"ACEH","PERDESAANPERKOTAAN","TOTAL",2011,554055
"ACEH","PERDESAANPERKOTAAN","TOTAL",2012,584100
"ACEH","PERDESAANPERKOTAAN","TOTAL",2013,627381
"ACEH","PERDESAANPERKOTAAN","TOTAL",2014,679850
"ACEH","PERDESAANPERKOTAAN","TOTAL",2015,752118
"ACEH","PERDESAANPERKOTAAN","TOTAL",2016,808094
"ACEH","PERDESAANPERKOTAAN","TOTAL",2017,902994
"ACEH","PERDESAANPERKOTAAN","TOTAL",2018,973817
"ACEH","PERDESAANPERKOTAAN","TOTAL",2019,993433
"ACEH","PERDESAANPERKOTAAN","TOTAL",2020,1080171
"ACEH","PERDESAANPERKOTAAN","TOTAL",2021,1137819
"ACEH","PERDESAANPERKOTAAN","TOTAL",2022,1180132
"SUMATERA UTARA","PERDESAAN","MAKANAN",2007,171299
"SUMATERA UTARA","PERDESAAN","MAKANAN",2008,198301
"SUMATERA UTARA","PERDESAAN","MAKANAN",2009,219171
"SUMATERA UTARA","PERDESAAN","MAKANAN",2010,248859
"SUMATERA UTARA","PERDESAAN","MAKANAN",2011,308555
"SUMATERA UTARA","PERDESAAN","MAKANAN",2012,340053
"SUMATERA UTARA","PERDESAAN","MAKANAN",2013,363252
"SUMATERA UTARA","PERDESAAN","MAKANAN",2014,382056
"SUMATERA UTARA","PERDESAAN","MAKANAN",2015,413087
"SUMATERA UTARA","PERDESAAN","MAKANAN",2016,450979
"SUMATERA UTARA","PERDESAAN","MAKANAN",2017,490603
"SUMATERA UTARA","PERDESAAN","MAKANAN",2018,519512
"SUMATERA UTARA","PERDESAAN","MAKANAN",2019,533737
"SUMATERA UTARA","PERDESAAN","MAKANAN",2020,544441
"SUMATERA UTARA","PERDESAAN","MAKANAN",2021,579669
"SUMATERA UTARA","PERDESAAN","MAKANAN",2022,631364
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2007,110453
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2008,119975
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2009,127622
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2010,150408
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2011,185619
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2012,194661
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2013,207533
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2014,222017
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2015,269407
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2016,287255
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2017,278114
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2018,337487
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2019,369051
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2020,390593
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2021,383019
"SUMATERA UTARA","PERDESAAN","NONMAKANAN",2022,404273
"SUMATERA UTARA","PERDESAAN","TOTAL",2007,281752
"SUMATERA UTARA","PERDESAAN","TOTAL",2008,318276
"SUMATERA UTARA","PERDESAAN","TOTAL",2009,346793
"SUMATERA UTARA","PERDESAAN","TOTAL",2010,399267
"SUMATERA UTARA","PERDESAAN","TOTAL",2011,494174
"SUMATERA UTARA","PERDESAAN","TOTAL",2012,534713
"SUMATERA UTARA","PERDESAAN","TOTAL",2013,570785
"SUMATERA UTARA","PERDESAAN","TOTAL",2014,604073
"SUMATERA UTARA","PERDESAAN","TOTAL",2015,682494
"SUMATERA UTARA","PERDESAAN","TOTAL",2016,738234
"SUMATERA UTARA","PERDESAAN","TOTAL",2017,768718
"SUMATERA UTARA","PERDESAAN","TOTAL",2018,857000
"SUMATERA UTARA","PERDESAAN","TOTAL",2019,902788
"SUMATERA UTARA","PERDESAAN","TOTAL",2020,935035
"SUMATERA UTARA","PERDESAAN","TOTAL",2021,962689
"SUMATERA UTARA","PERDESAAN","TOTAL",2022,1035638
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2007,207606
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2008,227521
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2009,257661
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2010,288594
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2011,324392
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2012,349032
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2013,363478
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2014,416319
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2015,416073
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2016,493141
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2017,553690
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2018,586199
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2019,612136
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2020,643456
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2021,630458
"SUMATERA UTARA","PERKOTAAN","MAKANAN",2022,689463
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2007,225606
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2008,250148
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2009,274781
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2010,328487
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2011,312932
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2012,316579
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2013,380777
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2014,381027
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2015,453609
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2016,474404
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2017,491793
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2018,544628
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2019,587371
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2020,639799
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2021,657135
"SUMATERA UTARA","PERKOTAAN","NONMAKANAN",2022,668871
"SUMATERA UTARA","PERKOTAAN","TOTAL",2007,433212
"SUMATERA UTARA","PERKOTAAN","TOTAL",2008,477669
"SUMATERA UTARA","PERKOTAAN","TOTAL",2009,532442
"SUMATERA UTARA","PERKOTAAN","TOTAL",2010,617081
"SUMATERA UTARA","PERKOTAAN","TOTAL",2011,637325
"SUMATERA UTARA","PERKOTAAN","TOTAL",2012,665611
"SUMATERA UTARA","PERKOTAAN","TOTAL",2013,744255
"SUMATERA UTARA","PERKOTAAN","TOTAL",2014,797346
"SUMATERA UTARA","PERKOTAAN","TOTAL",2015,869682
"SUMATERA UTARA","PERKOTAAN","TOTAL",2016,967546
"SUMATERA UTARA","PERKOTAAN","TOTAL",2017,1045483
"SUMATERA UTARA","PERKOTAAN","TOTAL",2018,1130828
"SUMATERA UTARA","PERKOTAAN","TOTAL",2019,1199507
"SUMATERA UTARA","PERKOTAAN","TOTAL",2020,1283255
"SUMATERA UTARA","PERKOTAAN","TOTAL",2021,1287593
"SUMATERA UTARA","PERKOTAAN","TOTAL",2022,1358335
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2011,316343
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2012,344467
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2013,363363
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2014,398932
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2015,414566
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2016,472220
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2017,522766
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2018,554754
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2019,576322
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2020,598244
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2021,607811
"SUMATERA UTARA","PERDESAANPERKOTAAN","MAKANAN",2022,663926
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2011,248222
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2012,254593
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2013,292770
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2014,300335
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2015,360624
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2016,381537
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2017,387051
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2018,446955
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2019,487640
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2020,526007
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2021,534905
"SUMATERA UTARA","PERDESAANPERKOTAAN","NONMAKANAN",2022,552569
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2011,564565
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2012,599060
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2013,656133
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2014,699267
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2015,775189
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2016,853756
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2017,909817
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2018,1001709
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2019,1063963
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2020,1124252
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2021,1142716
"SUMATERA UTARA","PERDESAANPERKOTAAN","TOTAL",2022,1216496
"SUMATERA BARAT","PERDESAAN","MAKANAN",2007,192079
"SUMATERA BARAT","PERDESAAN","MAKANAN",2008,212391
"SUMATERA BARAT","PERDESAAN","MAKANAN",2009,238274
"SUMATERA BARAT","PERDESAAN","MAKANAN",2010,280748
"SUMATERA BARAT","PERDESAAN","MAKANAN",2011,325893
"SUMATERA BARAT","PERDESAAN","MAKANAN",2012,370535
"SUMATERA BARAT","PERDESAAN","MAKANAN",2013,402070
"SUMATERA BARAT","PERDESAAN","MAKANAN",2014,423217
"SUMATERA BARAT","PERDESAAN","MAKANAN",2015,447944
"SUMATERA BARAT","PERDESAAN","MAKANAN",2016,505042
"SUMATERA BARAT","PERDESAAN","MAKANAN",2017,544680
"SUMATERA BARAT","PERDESAAN","MAKANAN",2018,558783
"SUMATERA BARAT","PERDESAAN","MAKANAN",2019,561206
"SUMATERA BARAT","PERDESAAN","MAKANAN",2020,597149
"SUMATERA BARAT","PERDESAAN","MAKANAN",2021,619721
"SUMATERA BARAT","PERDESAAN","MAKANAN",2022,677060
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2007,118393
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2008,131257
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2009,150515
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2010,178601
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2011,216984
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2012,210653
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2013,223409
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2014,252800
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2015,319143
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2016,334953
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2017,359478
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2018,416100
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2019,419508
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2020,445718
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2021,468281
"SUMATERA BARAT","PERDESAAN","NONMAKANAN",2022,477638
"SUMATERA BARAT","PERDESAAN","TOTAL",2007,310472
"SUMATERA BARAT","PERDESAAN","TOTAL",2008,343647
"SUMATERA BARAT","PERDESAAN","TOTAL",2009,388789
"SUMATERA BARAT","PERDESAAN","TOTAL",2010,459349
"SUMATERA BARAT","PERDESAAN","TOTAL",2011,542877
"SUMATERA BARAT","PERDESAAN","TOTAL",2012,581188
"SUMATERA BARAT","PERDESAAN","TOTAL",2013,625479
"SUMATERA BARAT","PERDESAAN","TOTAL",2014,676017
"SUMATERA BARAT","PERDESAAN","TOTAL",2015,767087
"SUMATERA BARAT","PERDESAAN","TOTAL",2016,839995
"SUMATERA BARAT","PERDESAAN","TOTAL",2017,904159
"SUMATERA BARAT","PERDESAAN","TOTAL",2018,974885
"SUMATERA BARAT","PERDESAAN","TOTAL",2019,980714
"SUMATERA BARAT","PERDESAAN","TOTAL",2020,1042868
"SUMATERA BARAT","PERDESAAN","TOTAL",2021,1088003
"SUMATERA BARAT","PERDESAAN","TOTAL",2022,1154698
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2007,252168
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2008,263491
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2009,299590
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2010,344099
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2011,409639
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2012,423032
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2013,447972
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2014,521275
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2015,509609
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2016,583696
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2017,639600
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2018,663365
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2019,663548
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2020,698667
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2021,718095
"SUMATERA BARAT","PERKOTAAN","MAKANAN",2022,756882
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2007,256064
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2008,250303
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2009,285526
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2010,326710
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2011,384824
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2012,416834
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2013,519086
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2014,506440
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2015,578890
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2016,610624
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2017,625397
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2018,705784
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2019,709405
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2020,753188
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2021,764266
"SUMATERA BARAT","PERKOTAAN","NONMAKANAN",2022,781204
"SUMATERA BARAT","PERKOTAAN","TOTAL",2007,508232
"SUMATERA BARAT","PERKOTAAN","TOTAL",2008,513794
"SUMATERA BARAT","PERKOTAAN","TOTAL",2009,585115
"SUMATERA BARAT","PERKOTAAN","TOTAL",2010,670809
"SUMATERA BARAT","PERKOTAAN","TOTAL",2011,794462
"SUMATERA BARAT","PERKOTAAN","TOTAL",2012,839867
"SUMATERA BARAT","PERKOTAAN","TOTAL",2013,967058
"SUMATERA BARAT","PERKOTAAN","TOTAL",2014,1027715
"SUMATERA BARAT","PERKOTAAN","TOTAL",2015,1088499
"SUMATERA BARAT","PERKOTAAN","TOTAL",2016,1194320
"SUMATERA BARAT","PERKOTAAN","TOTAL",2017,1264997
"SUMATERA BARAT","PERKOTAAN","TOTAL",2018,1369150
"SUMATERA BARAT","PERKOTAAN","TOTAL",2019,1372954
"SUMATERA BARAT","PERKOTAAN","TOTAL",2020,1451855
"SUMATERA BARAT","PERKOTAAN","TOTAL",2021,1482361
"SUMATERA BARAT","PERKOTAAN","TOTAL",2022,1538087
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2011,358338
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2012,390870
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2013,419853
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2014,461404
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2015,472428
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2016,537236
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2017,584045
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2018,604871
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2019,609257
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2020,644852
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2021,668029
"SUMATERA BARAT","PERDESAANPERKOTAAN","MAKANAN",2022,716261
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2011,282009
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2012,290521
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2013,337956
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2014,351576
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2015,422275
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2016,447789
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2017,469758
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2018,543759
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2019,555620
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2020,590197
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2021,613628
"SUMATERA BARAT","PERDESAANPERKOTAAN","NONMAKANAN",2022,626723
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2011,640348
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2012,681391
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2013,757809
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2014,812980
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2015,894703
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2016,985025
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2017,1053803
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2018,1148630
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2019,1164878
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2020,1235050
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2021,1281658
"SUMATERA BARAT","PERDESAANPERKOTAAN","TOTAL",2022,1342985
"RIAU","PERDESAAN","MAKANAN",2007,217296
"RIAU","PERDESAAN","MAKANAN",2008,237941
"RIAU","PERDESAAN","MAKANAN",2009,263543
"RIAU","PERDESAAN","MAKANAN",2010,276157
"RIAU","PERDESAAN","MAKANAN",2011,360996
"RIAU","PERDESAAN","MAKANAN",2012,372308
"RIAU","PERDESAAN","MAKANAN",2013,418560
"RIAU","PERDESAAN","MAKANAN",2014,432629
"RIAU","PERDESAAN","MAKANAN",2015,472756
"RIAU","PERDESAAN","MAKANAN",2016,529182
"RIAU","PERDESAAN","MAKANAN",2017,577172
"RIAU","PERDESAAN","MAKANAN",2018,569382
"RIAU","PERDESAAN","MAKANAN",2019,581820
"RIAU","PERDESAAN","MAKANAN",2020,616148
"RIAU","PERDESAAN","MAKANAN",2021,643925
"RIAU","PERDESAAN","MAKANAN",2022,687965
"RIAU","PERDESAAN","NONMAKANAN",2007,172328
"RIAU","PERDESAAN","NONMAKANAN",2008,187452
"RIAU","PERDESAAN","NONMAKANAN",2009,226950
"RIAU","PERDESAAN","NONMAKANAN",2010,199219
"RIAU","PERDESAAN","NONMAKANAN",2011,282024
"RIAU","PERDESAAN","NONMAKANAN",2012,307100
