"provinsi","jenis","daerah","tahun","periode","gk"
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2017,"SEPTEMBER",107572
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2018,"MARET",111335
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2018,"SEPTEMBER",114830
"ACEH","NONMAKANAN","PERKOTAAN",2019,"MARET",137577
"ACEH","NONMAKANAN","PERKOTAAN",2019,"SEPTEMBER",140281
"ACEH","NONMAKANAN","PERKOTAAN",2020,"MARET",143425
"ACEH","NONMAKANAN","PERKOTAAN",2020,"SEPTEMBER",144182
"ACEH","NONMAKANAN","PERDESAAN",2019,"MARET",106943
"ACEH","NONMAKANAN","PERDESAAN",2019,"SEPTEMBER",110248
"ACEH","NONMAKANAN","PERDESAAN",2020,"MARET",116270
"ACEH","NONMAKANAN","PERDESAAN",2020,"SEPTEMBER",116847
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2019,"MARET",116842
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2019,"SEPTEMBER",120033
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2020,"MARET",125093
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2020,"SEPTEMBER",125892
"ACEH","NONMAKANAN","PERKOTAAN",2021,"MARET",147729
"ACEH","NONMAKANAN","PERKOTAAN",2021,"SEPTEMBER",151144
"ACEH","NONMAKANAN","PERKOTAAN",2022,"MARET",157867
"ACEH","NONMAKANAN","PERKOTAAN",2022,"SEPTEMBER",164956
"ACEH","NONMAKANAN","PERDESAAN",2021,"MARET",122118
"ACEH","NONMAKANAN","PERDESAAN",2021,"SEPTEMBER",126262
"ACEH","NONMAKANAN","PERDESAAN",2022,"MARET",131658
"ACEH","NONMAKANAN","PERDESAAN",2022,"SEPTEMBER",140763
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2021,"MARET",130689
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2021,"SEPTEMBER",134643
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2022,"MARET",140570
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2022,"SEPTEMBER",149038
"ACEH","TOTAL","PERKOTAAN",2013,"MARET",359217
"ACEH","TOTAL","PERKOTAAN",2013,"SEPTEMBER",374261
"ACEH","TOTAL","PERKOTAAN",2014,"MARET",383186
"ACEH","TOTAL","PERKOTAAN",2014,"SEPTEMBER",396939
"ACEH","TOTAL","PERDESAAN",2013,"MARET",319416
"ACEH","TOTAL","PERDESAAN",2013,"SEPTEMBER",337962
"ACEH","TOTAL","PERDESAAN",2014,"MARET",350204
"ACEH","TOTAL","PERDESAAN",2014,"SEPTEMBER",369232
"ACEH","TOTAL","PERDESAANPERKOTAAN",2013,"MARET",NA
"ACEH","TOTAL","PERDESAANPERKOTAAN",2013,"SEPTEMBER",NA
"ACEH","TOTAL","PERDESAANPERKOTAAN",2014,"MARET",NA
"ACEH","TOTAL","PERDESAANPERKOTAAN",2014,"SEPTEMBER",NA
"ACEH","TOTAL","PERKOTAAN",2015,"MARET",410414
"ACEH","TOTAL","PERKOTAAN",2015,"SEPTEMBER",420324
"ACEH","TOTAL","PERKOTAAN",2016,"MARET",427970
"ACEH","TOTAL","PERKOTAAN",2016,"SEPTEMBER",445488
"ACEH","TOTAL","PERDESAAN",2015,"MARET",382117
"ACEH","TOTAL","PERDESAAN",2015,"SEPTEMBER",394419
"ACEH","TOTAL","PERDESAAN",2016,"MARET",403985
"ACEH","TOTAL","PERDESAAN",2016,"SEPTEMBER",415826
"ACEH","TOTAL","PERDESAANPERKOTAAN",2015,"MARET",390150
"ACEH","TOTAL","PERDESAANPERKOTAAN",2015,"SEPTEMBER",401772
"ACEH","TOTAL","PERDESAANPERKOTAAN",2016,"MARET",410956
"ACEH","TOTAL","PERDESAANPERKOTAAN",2016,"SEPTEMBER",424765
"ACEH","TOTAL","PERKOTAAN",2017,"MARET",458011
"ACEH","TOTAL","PERKOTAAN",2017,"SEPTEMBER",479872
"ACEH","TOTAL","PERKOTAAN",2018,"MARET",486338
"ACEH","TOTAL","PERKOTAAN",2018,"SEPTEMBER",496752
"ACEH","TOTAL","PERDESAAN",2017,"MARET",425730
"ACEH","TOTAL","PERDESAAN",2017,"SEPTEMBER",442869
"ACEH","TOTAL","PERDESAAN",2018,"MARET",454740
"ACEH","TOTAL","PERDESAAN",2018,"SEPTEMBER",467242
"ACEH","TOTAL","PERDESAANPERKOTAAN",2017,"MARET",435454
"ACEH","TOTAL","PERDESAANPERKOTAAN",2017,"SEPTEMBER",454124
"ACEH","TOTAL","PERDESAANPERKOTAAN",2018,"MARET",464626
"ACEH","TOTAL","PERDESAANPERKOTAAN",2018,"SEPTEMBER",476665
"ACEH","TOTAL","PERKOTAAN",2019,"MARET",501617
"ACEH","TOTAL","PERKOTAAN",2019,"SEPTEMBER",517900
"ACEH","TOTAL","PERKOTAAN",2020,"MARET",541451
"ACEH","TOTAL","PERKOTAAN",2020,"SEPTEMBER",543685
"ACEH","TOTAL","PERDESAAN",2019,"MARET",479569
"ACEH","TOTAL","PERDESAAN",2019,"SEPTEMBER",497615
"ACEH","TOTAL","PERDESAAN",2020,"MARET",512886
"ACEH","TOTAL","PERDESAAN",2020,"SEPTEMBER",514663
"ACEH","TOTAL","PERDESAANPERKOTAAN",2019,"MARET",486935
"ACEH","TOTAL","PERDESAANPERKOTAAN",2019,"SEPTEMBER",504414
"ACEH","TOTAL","PERDESAANPERKOTAAN",2020,"MARET",522125
"ACEH","TOTAL","PERDESAANPERKOTAAN",2020,"SEPTEMBER",524208
"ACEH","TOTAL","PERKOTAAN",2021,"MARET",565776
"ACEH","TOTAL","PERKOTAAN",2021,"SEPTEMBER",577270
"ACEH","TOTAL","PERKOTAAN",2022,"MARET",606394
"ACEH","TOTAL","PERKOTAAN",2022,"SEPTEMBER",646232
"ACEH","TOTAL","PERDESAAN",2021,"MARET",529035
"ACEH","TOTAL","PERDESAAN",2021,"SEPTEMBER",541000
"ACEH","TOTAL","PERDESAAN",2022,"MARET",565762
"ACEH","TOTAL","PERDESAAN",2022,"SEPTEMBER",602900
"ACEH","TOTAL","PERDESAANPERKOTAAN",2021,"MARET",541109
"ACEH","TOTAL","PERDESAANPERKOTAAN",2021,"SEPTEMBER",552939
"ACEH","TOTAL","PERDESAANPERKOTAAN",2022,"MARET",579228
"ACEH","TOTAL","PERDESAANPERKOTAAN",2022,"SEPTEMBER",617293
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2015,"MARET",261677
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2015,"SEPTEMBER",273271
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2016,"MARET",290096
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2016,"SEPTEMBER",302027
"SUMATERA UTARA","MAKANAN","PERDESAAN",2015,"MARET",266143
"SUMATERA UTARA","MAKANAN","PERDESAAN",2015,"SEPTEMBER",284650
"SUMATERA UTARA","MAKANAN","PERDESAAN",2016,"MARET",304942
"SUMATERA UTARA","MAKANAN","PERDESAAN",2016,"SEPTEMBER",313234
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2015,"MARET",263932
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2015,"SEPTEMBER",279015
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2016,"MARET",296832
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2016,"SEPTEMBER",308037
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2017,"MARET",311996
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2017,"SEPTEMBER",321688
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2018,"MARET",328225
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2018,"SEPTEMBER",345167
"SUMATERA UTARA","MAKANAN","PERDESAAN",2017,"MARET",316190
"SUMATERA UTARA","MAKANAN","PERDESAAN",2017,"SEPTEMBER",322222
"SUMATERA UTARA","MAKANAN","PERDESAAN",2018,"MARET",333843
"SUMATERA UTARA","MAKANAN","PERDESAAN",2018,"SEPTEMBER",342317
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2017,"MARET",314243
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2017,"SEPTEMBER",321967
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2018,"MARET",331105
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2018,"SEPTEMBER",343740
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2019,"MARET",354346
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2019,"SEPTEMBER",366831
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2020,"MARET",376919
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2020,"SEPTEMBER",378679
"SUMATERA UTARA","MAKANAN","PERDESAAN",2019,"MARET",348030
"SUMATERA UTARA","MAKANAN","PERDESAAN",2019,"SEPTEMBER",367379
"SUMATERA UTARA","MAKANAN","PERDESAAN",2020,"MARET",376656
"SUMATERA UTARA","MAKANAN","PERDESAAN",2020,"SEPTEMBER",378550
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2019,"MARET",351215
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2019,"SEPTEMBER",367105
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2020,"MARET",376790
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2020,"SEPTEMBER",378617
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2021,"MARET",397996
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2021,"SEPTEMBER",409313
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2022,"MARET",431588
"SUMATERA UTARA","MAKANAN","PERKOTAAN",2022,"SEPTEMBER",458089
"SUMATERA UTARA","MAKANAN","PERDESAAN",2021,"MARET",391979
"SUMATERA UTARA","MAKANAN","PERDESAAN",2021,"SEPTEMBER",399971
"SUMATERA UTARA","MAKANAN","PERDESAAN",2022,"MARET",415301
"SUMATERA UTARA","MAKANAN","PERDESAAN",2022,"SEPTEMBER",438098
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2021,"MARET",395104
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2021,"SEPTEMBER",404860
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2022,"MARET",423760
"SUMATERA UTARA","MAKANAN","PERDESAANPERKOTAAN",2022,"SEPTEMBER",448623
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2015,"MARET",102643
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2015,"SEPTEMBER",106627
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2016,"MARET",108312
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2016,"SEPTEMBER",111808
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2015,"MARET",65752
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2015,"SEPTEMBER",67987
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2016,"MARET",72806
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2016,"SEPTEMBER",75473
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2015,"MARET",84021
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2015,"SEPTEMBER",87123
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2016,"MARET",91324
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2016,"SEPTEMBER",93795
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2017,"MARET",113696
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2017,"SEPTEMBER",117206
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2018,"MARET",120138
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2018,"SEPTEMBER",120623
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2017,"MARET",79842
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2017,"SEPTEMBER",84935
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2018,"MARET",87743
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2018,"SEPTEMBER",93173
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2017,"MARET",97102
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2017,"SEPTEMBER",101729
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2018,"MARET",104865
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2018,"SEPTEMBER",107932
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2019,"MARET",129321
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2019,"SEPTEMBER",139706
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2020,"MARET",141299
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2020,"SEPTEMBER",141850
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2019,"MARET",97785
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2019,"SEPTEMBER",103166
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2020,"MARET",108061
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2020,"SEPTEMBER",108091
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2019,"MARET",114907
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2019,"SEPTEMBER",123015
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2020,"MARET",126114
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2020,"SEPTEMBER",126619
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2021,"MARET",145089
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2021,"SEPTEMBER",147124
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2022,"MARET",151633
"SUMATERA UTARA","NONMAKANAN","PERKOTAAN",2022,"SEPTEMBER",157137
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2021,"MARET",112706
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2021,"SEPTEMBER",114016
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2022,"MARET",118883
"SUMATERA UTARA","NONMAKANAN","PERDESAAN",2022,"SEPTEMBER",125685
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2021,"MARET",130652
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2021,"SEPTEMBER",132451
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2022,"MARET",137244
"SUMATERA UTARA","NONMAKANAN","PERDESAANPERKOTAAN",2022,"SEPTEMBER",143402
"SUMATERA UTARA","TOTAL","PERKOTAAN",2013,"MARET",307352
"SUMATERA UTARA","TOTAL","PERKOTAAN",2013,"SEPTEMBER",330517
"SUMATERA UTARA","TOTAL","PERKOTAAN",2014,"MARET",338234
"SUMATERA UTARA","TOTAL","PERKOTAAN",2014,"SEPTEMBER",349372
"SUMATERA UTARA","TOTAL","PERDESAAN",2013,"MARET",263061
"SUMATERA UTARA","TOTAL","PERDESAAN",2013,"SEPTEMBER",292186
"SUMATERA UTARA","TOTAL","PERDESAAN",2014,"MARET",299145
"SUMATERA UTARA","TOTAL","PERDESAAN",2014,"SEPTEMBER",312493
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2013,"MARET",NA
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2013,"SEPTEMBER",NA
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2014,"MARET",NA
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2014,"SEPTEMBER",NA
"SUMATERA UTARA","TOTAL","PERKOTAAN",2015,"MARET",364320
"SUMATERA UTARA","TOTAL","PERKOTAAN",2015,"SEPTEMBER",379898
"SUMATERA UTARA","TOTAL","PERKOTAAN",2016,"MARET",398408
"SUMATERA UTARA","TOTAL","PERKOTAAN",2016,"SEPTEMBER",413835
"SUMATERA UTARA","TOTAL","PERDESAAN",2015,"MARET",331895
"SUMATERA UTARA","TOTAL","PERDESAAN",2015,"SEPTEMBER",352637
"SUMATERA UTARA","TOTAL","PERDESAAN",2016,"MARET",377748
"SUMATERA UTARA","TOTAL","PERDESAAN",2016,"SEPTEMBER",388707
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2015,"MARET",347953
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2015,"SEPTEMBER",366138
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2016,"MARET",388156
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2016,"SEPTEMBER",401832
"SUMATERA UTARA","TOTAL","PERKOTAAN",2017,"MARET",425693
"SUMATERA UTARA","TOTAL","PERKOTAAN",2017,"SEPTEMBER",438894
"SUMATERA UTARA","TOTAL","PERKOTAAN",2018,"MARET",448363
"SUMATERA UTARA","TOTAL","PERKOTAAN",2018,"SEPTEMBER",465790
"SUMATERA UTARA","TOTAL","PERDESAAN",2017,"MARET",396033
"SUMATERA UTARA","TOTAL","PERDESAAN",2017,"SEPTEMBER",407157
"SUMATERA UTARA","TOTAL","PERDESAAN",2018,"MARET",421586
"SUMATERA UTARA","TOTAL","PERDESAAN",2018,"SEPTEMBER",435492
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2017,"MARET",411345
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2017,"SEPTEMBER",423696
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2018,"MARET",435970
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2018,"SEPTEMBER",451673
"SUMATERA UTARA","TOTAL","PERKOTAAN",2019,"MARET",483667
"SUMATERA UTARA","TOTAL","PERKOTAAN",2019,"SEPTEMBER",506538
"SUMATERA UTARA","TOTAL","PERKOTAAN",2020,"MARET",518218
"SUMATERA UTARA","TOTAL","PERKOTAAN",2020,"SEPTEMBER",520529
"SUMATERA UTARA","TOTAL","PERDESAAN",2019,"MARET",445815
"SUMATERA UTARA","TOTAL","PERDESAAN",2019,"SEPTEMBER",470545
"SUMATERA UTARA","TOTAL","PERDESAAN",2020,"MARET",484717
"SUMATERA UTARA","TOTAL","PERDESAAN",2020,"SEPTEMBER",486642
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2019,"MARET",466122
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2019,"SEPTEMBER",490120
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2020,"MARET",502904
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2020,"SEPTEMBER",505236
"SUMATERA UTARA","TOTAL","PERKOTAAN",2021,"MARET",543085
"SUMATERA UTARA","TOTAL","PERKOTAAN",2021,"SEPTEMBER",556437
"SUMATERA UTARA","TOTAL","PERKOTAAN",2022,"MARET",583221
"SUMATERA UTARA","TOTAL","PERKOTAAN",2022,"SEPTEMBER",615227
"SUMATERA UTARA","TOTAL","PERDESAAN",2021,"MARET",504685
"SUMATERA UTARA","TOTAL","PERDESAAN",2021,"SEPTEMBER",513987
"SUMATERA UTARA","TOTAL","PERDESAAN",2022,"MARET",534184
"SUMATERA UTARA","TOTAL","PERDESAAN",2022,"SEPTEMBER",563783
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2021,"MARET",525756
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2021,"SEPTEMBER",537311
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2022,"MARET",561004
"SUMATERA UTARA","TOTAL","PERDESAANPERKOTAAN",2022,"SEPTEMBER",592025
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2015,"MARET",288410
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2015,"SEPTEMBER",301356
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2016,"MARET",312154
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2016,"SEPTEMBER",322168
"SUMATERA BARAT","MAKANAN","PERDESAAN",2015,"MARET",293768
"SUMATERA BARAT","MAKANAN","PERDESAAN",2015,"SEPTEMBER",313294
"SUMATERA BARAT","MAKANAN","PERDESAAN",2016,"MARET",332415
"SUMATERA BARAT","MAKANAN","PERDESAAN",2016,"SEPTEMBER",341816
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2015,"MARET",291641
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2015,"SEPTEMBER",308554
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2016,"MARET",326993
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2016,"SEPTEMBER",334358
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2017,"MARET",337132
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2017,"SEPTEMBER",339340
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2018,"MARET",356907
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2018,"SEPTEMBER",367319
"SUMATERA BARAT","MAKANAN","PERDESAAN",2017,"MARET",352878
"SUMATERA BARAT","MAKANAN","PERDESAAN",2017,"SEPTEMBER",354771
"SUMATERA BARAT","MAKANAN","PERDESAAN",2018,"MARET",369087
"SUMATERA BARAT","MAKANAN","PERDESAAN",2018,"SEPTEMBER",370529
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2017,"MARET",346896
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2017,"SEPTEMBER",348429
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2018,"MARET",364235
"SUMATERA BARAT","MAKANAN","PERDESAANPERKOTAAN",2018,"SEPTEMBER",369206
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2019,"MARET",382490
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2019,"SEPTEMBER",402124
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2020,"MARET",411369
"SUMATERA BARAT","MAKANAN","PERKOTAAN",2020,"SEPTEMBER",413073
"SUMATERA BARAT","MAKANAN","PERDESAAN",2019,"MARET",382217
"SUMATERA BARAT","MAKANAN","PERDESAAN",2019,"SEPTEMBER",401904
"SUMATERA BARAT","MAKANAN","PERDESAAN",2020,"MARET",415694
